categorie_fr,categorie_nl,printemps-2026,elections-2024
PS,PS,24.9,22.0
MR,MR,20.0,28.2
Les Engagés,Les Engagés,19.3,
PTB,PTB,18.6,11.6
Ecolo,Ecolo,6.8,
